var_orig,label_orig,type_orig,n_unique,pct_na,var_new,label_new,type_new,keep
code_pays,Code ISO pays,character,,,code_pays,Code ISO pays,character,yes
pays,Nom du pays,character,,,pays,Nom du pays,character,yes
annee_enquete,Annee de l enquete,numeric,,,annee_enquete,Annee de l enquete,numeric,yes
wpid_random,Identifiant individu Gallup,numeric,,,wpid_random,Identifiant individu Gallup,numeric,yes
wgt,Poids de sondage,numeric,,,wgt,Poids de sondage,numeric,yes
milieu,Milieu de residence (non disponible Findex 2017),character,,,milieu,Milieu de residence (non disponible Findex 2017),character,yes
sexe,Sexe du repondant,character,,,sexe,Sexe du repondant,character,yes
age,Age du repondant,numeric,,,age,Age du repondant,numeric,yes
education,Niveau d education,character,,,education,Niveau d education,character,yes
quintile_revenu,Quintile de revenu du menage,character,,,quintile_revenu,Quintile de revenu du menage,character,yes
actif,Statut dans la population active,numeric,,,actif,Statut dans la population active,numeric,yes
account,Possede un compte (tous types),numeric,,,account,Possede un compte (tous types),numeric,yes
account_fin,Possede un compte institution financiere,numeric,,,account_fin,Possede un compte institution financiere,numeric,yes
account_mob,Possede un compte mobile money,numeric,,,account_mob,Possede un compte mobile money,numeric,yes
mobileowner,Possede un telephone portable,numeric,,,mobileowner,Possede un telephone portable,numeric,yes
fin48_id_nat,Possede une piece identite nationale,numeric,,,fin48_id_nat,Possede une piece identite nationale,numeric,yes
fin2_carte_debit,Possede une carte de debit,numeric,,,fin2_carte_debit,Possede une carte de debit,numeric,yes
fin3_carte_nom_propre,Carte de debit a son propre nom,numeric,,,fin3_carte_nom_propre,Carte de debit a son propre nom,numeric,yes
fin4_carte_utilisee_12m,Carte de debit utilisee 12 derniers mois,numeric,,,fin4_carte_utilisee_12m,Carte de debit utilisee 12 derniers mois,numeric,yes
fin5_mobile_acces_compte,Acces compte via mobile ou internet,numeric,,,fin5_mobile_acces_compte,Acces compte via mobile ou internet,numeric,yes
fin6_mobile_solde,Consultation solde via mobile ou internet,numeric,,,fin6_mobile_solde,Consultation solde via mobile ou internet,numeric,yes
fin7_carte_credit,Possede une carte de credit,numeric,,,fin7_carte_credit,Possede une carte de credit,numeric,yes
fin8_carte_credit_utilisee,Carte credit utilisee 12 derniers mois,numeric,,,fin8_carte_credit_utilisee,Carte credit utilisee 12 derniers mois,numeric,yes
fin9_depot_12m,Depot sur compte 12 derniers mois,numeric,,,fin9_depot_12m,Depot sur compte 12 derniers mois,numeric,yes
fin10_retrait_12m,Retrait sur compte 12 derniers mois,numeric,,,fin10_retrait_12m,Retrait sur compte 12 derniers mois,numeric,yes
fin11a_trop_loin,Pas de compte: trop loin,numeric,,,fin11a_trop_loin,Pas de compte: trop loin,numeric,yes
fin11b_trop_cher,Pas de compte: trop couteux,numeric,,,fin11b_trop_cher,Pas de compte: trop couteux,numeric,yes
fin11c_docs_manquants,Pas de compte: documents manquants,numeric,,,fin11c_docs_manquants,Pas de compte: documents manquants,numeric,yes
fin11d_manque_confiance,Pas de compte: manque de confiance,numeric,,,fin11d_manque_confiance,Pas de compte: manque de confiance,numeric,yes
fin11e_religion,Pas de compte: raisons religieuses,numeric,,,fin11e_religion,Pas de compte: raisons religieuses,numeric,yes
fin11f_manque_argent,Pas de compte: manque argent,numeric,,,fin11f_manque_argent,Pas de compte: manque argent,numeric,yes
fin11g_famille_a_compte,Pas de compte: famille a un compte,numeric,,,fin11g_famille_a_compte,Pas de compte: famille a un compte,numeric,yes
fin11h_pas_besoin,Pas de compte: pas besoin,numeric,,,fin11h_pas_besoin,Pas de compte: pas besoin,numeric,yes
fin14a_paiement_enligne,Paiement factures en ligne,numeric,,,fin14a_paiement_enligne,Paiement factures en ligne,numeric,yes
fin14b_achat_enligne,Achat en ligne via internet,numeric,,,fin14b_achat_enligne,Achat en ligne via internet,numeric,yes
saved,A epargne dans les 12 derniers mois,numeric,,,saved,A epargne dans les 12 derniers mois,numeric,yes
fin15_epargne_agri_biz,Epargne pour agriculture ou entreprise,numeric,,,fin15_epargne_agri_biz,Epargne pour agriculture ou entreprise,numeric,yes
fin16_epargne_retraite,Epargne pour la retraite,numeric,,,fin16_epargne_retraite,Epargne pour la retraite,numeric,yes
fin17a_epargne_inst_fin,Epargne via institution financiere,numeric,,,fin17a_epargne_inst_fin,Epargne via institution financiere,numeric,yes
fin17b_epargne_tontine,Epargne via tontine (informel),numeric,,,fin17b_epargne_tontine,Epargne via tontine (informel),numeric,yes
epargne_totale,Nombre total instruments epargne utilises (0 a 4),numeric,,,epargne_totale,Nombre total instruments epargne utilises (0 a 4),numeric,yes
borrowed,A emprunte dans les 12 derniers mois,numeric,,,borrowed,A emprunte dans les 12 derniers mois,numeric,yes
fin19_pret_immo,Pret immobilier en cours,numeric,,,fin19_pret_immo,Pret immobilier en cours,numeric,yes
fin20_emprunt_sante,Emprunt pour frais de sante,numeric,,,fin20_emprunt_sante,Emprunt pour frais de sante,numeric,yes
fin21_emprunt_agri_biz,Emprunt pour agriculture ou entreprise,numeric,,,fin21_emprunt_agri_biz,Emprunt pour agriculture ou entreprise,numeric,yes
fin22a_emprunt_inst_fin,Emprunt aupres institution financiere,numeric,,,fin22a_emprunt_inst_fin,Emprunt aupres institution financiere,numeric,yes
fin22b_emprunt_famille,Emprunt aupres famille ou amis,numeric,,,fin22b_emprunt_famille,Emprunt aupres famille ou amis,numeric,yes
