var_orig,label_orig,type_orig,n_unique,pct_na,var_new,label_new,type_new,keep
code_pays,,character,7,0,code_pays,,,yes
pays,,character,7,0,pays,,,yes
annee_enquete,,numeric,1,0,annee_enquete,,,yes
wpid_random,,numeric,7000,0,wpid_random,,,yes
wgt,,numeric,2978,0,wgt,,,yes
milieu,,logical,0,100,milieu,,,yes
sexe,,numeric,2,0,sexe,,,yes
age,,numeric,77,0.8,age,,,yes
education,,numeric,5,0,education,,,yes
quintile_revenu,,numeric,5,0,quintile_revenu,,,yes
actif,,numeric,2,0,actif,,,yes
account,,numeric,2,0,account,,,yes
account_fin,,numeric,2,0,account_fin,,,yes
account_mob,,numeric,2,0,account_mob,,,yes
mobileowner,,numeric,4,0,mobileowner,,,yes
fin48_id_nat,,numeric,4,0,fin48_id_nat,,,yes
fin2_carte_debit,,numeric,4,0,fin2_carte_debit,,,yes
fin3_carte_nom_propre,,numeric,3,88,fin3_carte_nom_propre,,,yes
fin4_carte_utilisee_12m,,numeric,3,89.5,fin4_carte_utilisee_12m,,,yes
fin5_mobile_acces_compte,,numeric,3,77.9,fin5_mobile_acces_compte,,,yes
fin6_mobile_solde,,numeric,4,77.9,fin6_mobile_solde,,,yes
fin7_carte_credit,,numeric,4,0,fin7_carte_credit,,,yes
fin8_carte_credit_utilisee,,numeric,3,96,fin8_carte_credit_utilisee,,,yes
fin9_depot_12m,,numeric,4,77.1,fin9_depot_12m,,,yes
fin10_retrait_12m,,numeric,4,77.1,fin10_retrait_12m,,,yes
fin11a_trop_loin,,numeric,4,22.9,fin11a_trop_loin,,,yes
fin11b_trop_cher,,numeric,4,22.9,fin11b_trop_cher,,,yes
fin11c_docs_manquants,,numeric,4,22.9,fin11c_docs_manquants,,,yes
fin11d_manque_confiance,,numeric,4,22.9,fin11d_manque_confiance,,,yes
fin11e_religion,,numeric,4,22.9,fin11e_religion,,,yes
fin11f_manque_argent,,numeric,4,22.9,fin11f_manque_argent,,,yes
fin11g_famille_a_compte,,numeric,4,22.9,fin11g_famille_a_compte,,,yes
fin11h_pas_besoin,,numeric,4,22.9,fin11h_pas_besoin,,,yes
fin14a_paiement_enligne,,numeric,4,0,fin14a_paiement_enligne,,,yes
fin14b_achat_enligne,,numeric,4,0,fin14b_achat_enligne,,,yes
saved,,numeric,2,0,saved,,,yes
fin15_epargne_agri_biz,,numeric,4,0,fin15_epargne_agri_biz,,,yes
fin16_epargne_retraite,,numeric,4,0,fin16_epargne_retraite,,,yes
fin17a_epargne_inst_fin,,numeric,4,0,fin17a_epargne_inst_fin,,,yes
fin17b_epargne_tontine,,numeric,4,0,fin17b_epargne_tontine,,,yes
epargne_totale,,numeric,5,0,epargne_totale,,,yes
borrowed,,numeric,2,0,borrowed,,,yes
fin19_pret_immo,,numeric,4,0,fin19_pret_immo,,,yes
fin20_emprunt_sante,,numeric,4,0,fin20_emprunt_sante,,,yes
fin21_emprunt_agri_biz,,numeric,4,0,fin21_emprunt_agri_biz,,,yes
fin22a_emprunt_inst_fin,,numeric,4,0,fin22a_emprunt_inst_fin,,,yes
fin22b_emprunt_famille,,numeric,4,0,fin22b_emprunt_famille,,,yes
fin22c_emprunt_tontine,,numeric,4,77.1,fin22c_emprunt_tontine,,,yes
fin24_fonds_urgence,,numeric,4,0,fin24_fonds_urgence,,,yes
fin25_source_urgence,,numeric,8,49.2,fin25_source_urgence,,,yes
fin26_envoi_transfert,,numeric,4,0,fin26_envoi_transfert,,,yes
fin27a_envoi_via_fi,,numeric,4,70,fin27a_envoi_via_fi,,,yes
fin27b_envoi_via_mobile,,numeric,4,70,fin27b_envoi_via_mobile,,,yes
fin27c1_envoi_especes,,numeric,4,92.1,fin27c1_envoi_especes,,,yes
fin27c2_envoi_mto,,numeric,4,92.1,fin27c2_envoi_mto,,,yes
fin28_recep_transfert,,numeric,4,0,fin28_recep_transfert,,,yes
fin29a_recep_via_fi,,numeric,3,66.1,fin29a_recep_via_fi,,,yes
fin29b_recep_via_mobile,,numeric,3,66.1,fin29b_recep_via_mobile,,,yes
fin29c1_recep_especes,,numeric,4,90,fin29c1_recep_especes,,,yes
fin29c2_recep_mto,,numeric,3,90,fin29c2_recep_mto,,,yes
fin30_paie_factures,,numeric,4,0,fin30_paie_factures,,,yes
fin31a_factures_compte,,numeric,4,75.6,fin31a_factures_compte,,,yes
fin31b_factures_mobile,,numeric,4,75.6,fin31b_factures_mobile,,,yes
fin31c_factures_especes,,numeric,4,82.5,fin31c_factures_especes,,,yes
fin32_salaire_12m,,numeric,4,0,fin32_salaire_12m,,,yes
fin33_secteur_public,,numeric,4,80.7,fin33_secteur_public,,,yes
fin34a_salaire_compte,,numeric,3,80.7,fin34a_salaire_compte,,,yes
fin34b_salaire_mobile,,numeric,3,80.7,fin34b_salaire_mobile,,,yes
fin34c1_salaire_especes,,numeric,3,88.8,fin34c1_salaire_especes,,,yes
fin34c2_salaire_carte,,numeric,4,88.8,fin34c2_salaire_carte,,,yes
fin37_transferts_etat,,numeric,4,0,fin37_transferts_etat,,,yes
fin38_pension_etat,,numeric,4,0,fin38_pension_etat,,,yes
fin39a_etat_compte,,numeric,3,91.4,fin39a_etat_compte,,,yes
